event_id,identification_code,event_type,score,timestamp,expiry_date
1,913346,welcome,80,2025-05-09 08:24:37,
2,301995,welcome,80,2025-06-13 06:57:52,
3,150249,welcome,80,2025-06-13 09:04:24,
4,425340,welcome,80,2025-06-13 09:06:50,
5,327219,welcome,80,2025-06-13 09:23:40,
6,195335,welcome,80,2025-06-13 10:01:30,
7,571276,welcome,80,2025-06-13 10:54:07,
8,111690,welcome,80,2025-06-13 10:56:49,
9,161429,welcome,80,2025-06-27 08:48:17,
10,648071,welcome,80,2025-06-27 08:57:37,
11,701702,welcome,80,2025-06-27 08:59:53,
12,381156,welcome,80,2025-06-27 09:13:17,
13,169987,welcome,80,2025-06-27 09:13:35,
14,680533,welcome,80,2025-06-27 09:17:32,
15,482880,welcome,80,2025-06-27 09:18:13,
16,610314,welcome,80,2025-06-27 09:18:23,
17,615999,welcome,80,2025-06-27 09:25:49,
18,553413,welcome,80,2025-06-27 10:11:10,
19,885994,welcome,80,2025-06-27 10:41:50,
20,591137,welcome,80,2025-06-27 10:59:44,
21,726919,welcome,80,2025-06-27 11:03:54,
22,414592,welcome,80,2025-06-27 11:22:51,
23,658835,welcome,80,2025-06-27 11:26:37,
24,688224,welcome,80,2025-07-03 17:01:22,
25,709088,welcome,80,2025-07-04 14:11:40,
26,368870,welcome,80,2025-08-02 12:03:33,
27,518390,welcome,80,2025-08-02 12:06:48,
28,155756,welcome,80,2025-08-02 12:21:58,
29,830359,welcome,80,2025-08-02 12:46:48,
30,548774,welcome,80,2025-08-02 13:19:33,
31,531354,welcome,80,2025-08-03 17:17:53,
32,607916,welcome,80,2025-08-04 11:29:20,
33,851211,welcome,80,2025-08-04 11:30:23,
34,244115,welcome,80,2025-08-04 11:36:09,
35,234256,welcome,80,2025-08-04 11:37:35,
36,332060,welcome,80,2025-08-04 11:44:24,
37,345012,welcome,80,2025-08-04 11:50:10,
38,579585,welcome,80,2025-08-04 11:54:05,
39,112827,welcome,80,2025-08-04 19:52:19,
40,125026,welcome,80,2025-08-05 06:39:18,
41,293237,welcome,80,2025-08-05 06:40:59,
42,375781,welcome,80,2025-08-05 06:44:05,
43,444863,welcome,80,2025-08-05 07:15:33,
44,868485,welcome,80,2025-08-05 07:35:31,
45,547895,welcome,80,2025-08-05 07:37:40,
46,251266,welcome,80,2025-08-05 07:39:41,
47,855311,welcome,80,2025-08-05 07:58:32,
